Code Fragments,phenotype,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
[dc][dc][D2][dc][dc][D0 D1 D6 ~ & nor][dc][dc][dc][D4][dc],1.0,1.0,1.0,3,78.15299901578462,99973,19027,0.2727272727272727,0.003000732889624854,7464,7464,True
[dc][dc][D2][dc][dc][D0 D1 D6 ~ & nor][dc][D4][D2][D4][dc],1.0,1.0,1.0,7,78.15299901578462,99973,19232,0.45454545454545453,0.007001710075791326,7443,7443,True
[dc][dc][D2][dc][dc][D0 D1 D6 ~ & nor][dc][D4][dc][D4][dc],1.0,1.0,1.0,5,78.15299901578462,99973,31553,0.36363636363636365,0.005001221482708091,6315,6315,True
[dc][D1][dc][D2 ~ D5 ~ nor ~][D0 ~][dc][D5][dc][dc][dc][dc],1.0,1.0,1.0,3,71.04146502789962,99958,43360,0.36363636363636365,0.002727681129591672,3867,3867,True
[dc][D4 ~ ~ D8 D6 nand D2 D7 & & D2 nor nor][dc][D0 D1 nor][dc][dc][dc][dc][dc][dc][dc],0.0,1.0,1.0,8,72.43135509254303,99936,47884,0.18181818181818182,0.007416124856062325,3410,3410,True
[dc][dc][D2][D6 D0 nand ~ ~][dc][D0 D1 D6 ~ & nor][dc][D4][D2][D4][dc],1.0,1.0,1.0,2,78.15299901578462,99973,48987,0.5454545454545454,0.002000488593083236,4701,4701,True
[dc][dc][D8][dc][D8][D0 D2 &][D1 ~][dc][dc][dc][dc],1.0,1.0,1.0,3,78.81424945928893,99959,53075,0.36363636363636365,0.003026122010696224,2924,2924,True
[dc][dc][D2][dc][D4 ~ D7 nand D1 D0 nor ~ nand][dc][dc][D4][dc][D4][dc],1.0,1.0,1.0,9,62.52925155150562,99953,61771,0.36363636363636365,0.007202548234508532,2308,2308,True
[dc][dc][D2 D8 & D0 D1 nand nor][dc][D9 ~][D2 ~][D1 D9 nand][dc][dc][dc][dc],0.0,1.0,1.0,5,82.24956033905268,99987,63693,0.36363636363636365,0.005263371505780414,2310,2310,True
[dc][dc][dc][D5 D6 & D0 | D4 D4 nand D3 nor D1 | nand][D2 ~][D1][D1][dc][dc][D5 ~][D2 ~],0.0,1.0,1.0,5,69.72845766171604,99961,64619,0.5454545454545454,0.004462112328452591,2249,2249,True
[D0 ~ D6 nand ~][dc][D2][dc][dc][dc][dc][dc][D1 ~ ~][dc][dc],1.0,1.0,1.0,1,79.82579212440271,99973,67298,0.2727272727272727,0.0010216536063219301,2015,2015,True
[dc][D0 D0 D10 & nand][D2][dc][dc][dc][D2][dc][D0 ~ D6 & D1 ~ | ~][dc][dc],0.0,1.0,1.0,9,77.99868936232917,99979,68108,0.36363636363636365,0.008984386482142944,4011,4011,True
[dc][dc][dc][D5 D6 & D0 | D4 D4 nand D3 nor D1 | nand][dc][D1][D1][dc][D9 D6 nor D2 ~ |][D5 ~][dc],0.0,1.0,1.0,10,78.82509107264502,99979,69875,0.45454545454545453,0.010088460937226804,2375,2375,True
[D3 ~][dc][dc][D0 D1 nor][dc][dc][dc][dc][dc][D2 D4 D3 & nor][dc],0.0,1.0,1.0,1,76.20427654969437,99963,73440,0.2727272727272727,0.0009753034937983272,1521,1521,True
[dc][dc][D8][dc][D8][D0 D2 &][D1 ~][dc][dc][D8 ~ D3 D5 & D8 nor nand][dc],1.0,1.0,1.0,6,78.81424945928893,99959,73859,0.45454545454545453,0.006052244021392448,1623,1623,True
[dc][dc][D2 D8 & D0 D1 nand nor][dc][dc][D2 ~][D1 D9 nand][dc][dc][dc][dc],0.0,1.0,1.0,5,82.24956033905268,99987,75105,0.2727272727272727,0.005263371505780414,1586,1586,True
[dc][dc][dc][dc][dc][D2 ~][D1 D0 nand][D1 ~ D1 D2 nand &][D0 D7 ~ & D10 D2 & nor ~][dc][dc],0.0,1.0,1.0,3,74.39881996246496,99962,75356,0.36363636363636365,0.0028565888554776585,1555,1555,True
[dc][dc][dc][D5 D2 & ~][dc][D4 D3 nand D0 D5 & & ~ D0 D5 ~ nor &][dc][D0 D2 nor][dc][dc][D1],1.0,1.0,1.0,2,71.04146502789962,99958,75969,0.36363636363636365,0.0018184540863944482,1634,1634,True
[dc][dc][dc][dc][dc][D0 D1 D6 ~ & nor][dc][D4][dc][D4][D2 D4 nand ~],1.0,1.0,1.0,1,78.15299901578462,99973,76137,0.36363636363636365,0.001000244296541618,2198,2198,True
[dc][D4 ~ ~ D8 D6 nand D2 D7 & & D2 nor nor][D0 D2 nor D0 D1 nand nand][D0 D1 nor][dc][dc][dc][dc][dc][dc][dc],0.0,1.0,1.0,3,72.43135509254303,99936,76737,0.2727272727272727,0.0027810468210233722,1523,1523,True
[dc][D1 D3 D3 D10 | & nor][D8][dc][D8][D0 D2 &][dc][dc][dc][dc][dc],1.0,1.0,1.0,1,80.26864945270387,99872,78122,0.36363636363636365,0.0010273215336234203,612,612,True
[D2 D6 nor ~][D4 ~ ~ D8 D6 nand D2 D7 & & D2 nor nor][dc][D0 D1 nor][dc][dc][dc][dc][dc][dc][dc],0.0,1.0,1.0,4,72.43135509254303,99936,78848,0.2727272727272727,0.0037080624280311624,1385,1385,True
[dc][dc][D2][dc][dc][D0 D1 D6 ~ & nor][dc][dc][D1 ~ ~][dc][dc],1.0,1.0,1.0,5,79.82579212440271,99973,79606,0.2727272727272727,0.0051082680316096515,1259,1259,True
[dc][D4 ~ ~ D8 D6 nand D2 D7 & & D2 nor nor][dc][D0 D1 nor][dc][D4 D6 D9 nor nand][dc][dc][dc][dc][dc],0.0,1.0,1.0,3,72.43135509254303,99936,80573,0.2727272727272727,0.0027810468210233722,1273,1273,True
[D0 ~ D6 nand ~][dc][D2][dc][dc][dc][dc][dc][D1 ~ ~][D6 D6 |][dc],1.0,1.0,1.0,4,79.82579212440271,99973,80992,0.36363636363636365,0.0040866144252877205,1176,1176,True
[dc][D0 D0 D10 & nand][dc][dc][dc][dc][dc][dc][D0 ~ D6 & D1 ~ | ~][D7 D0 & D6 D0 | nand D2 D9 ~ | nor D2 ~ nor][dc],0.0,1.0,1.0,2,77.99868936232917,99979,81440,0.2727272727272727,0.001996530329365099,2335,2335,True
[dc][D1 D8 nand D8 D1 nor |][D8][dc][D8][D0 D2 &][dc][dc][dc][dc][dc],1.0,1.0,1.0,3,78.81424945928893,99959,81787,0.36363636363636365,0.003026122010696224,1131,1131,True
[dc][D4 ~ ~ D8 D6 nand D2 D7 & & D2 nor nor][dc][D0 D1 nor][dc][dc][dc][dc][D2 D10 |][dc][dc],0.0,1.0,1.0,1,72.43135509254303,99936,82035,0.2727272727272727,0.0009270156070077906,1175,1175,True
[D4 ~ D1 D3 nor |][D4 ~ ~ D8 D6 nand D2 D7 & & D2 nor nor][dc][D0 D1 nor][D4 ~][dc][dc][dc][dc][dc][dc],0.0,1.0,1.0,2,72.43135509254303,99936,82094,0.36363636363636365,0.0018540312140155812,1173,1173,True
[D0][dc][dc][dc][D8 ~ ~ ~][D2][dc][D1 ~ D1 D2 nand &][dc][dc][dc],0.0,1.0,1.0,2,75.98954685323663,99990,82988,0.36363636363636365,0.0019451105343092614,1107,1107,True
[D10 D0 D3 & D10 D6 & & |][D0 D0 D10 & nand][dc][dc][dc][D1][D1][dc][D9 D6 nor D2 ~ |][D5 ~][dc],0.0,1.0,1.0,3,79.60935002948676,99979,83788,0.5454545454545454,0.0030566503904333885,660,660,True
[D2 D6 nor ~][D4 ~ ~ D8 D6 nand D2 D7 & & D2 nor nor][dc][D0 D1 nor][dc][dc][dc][dc][dc][D4 D2 | D2 & D5 D7 D2 & | nor D10 D9 nor D10 & D4 nor |][D0 D5 nand],0.0,1.0,1.0,1,72.43135509254303,99936,83805,0.45454545454545453,0.0009270156070077906,1062,1062,True
